iso3,country,hdicode,region,hdi_rank_2021,hdi_1990,hdi_2021,le_1990,le_2021,eys_1990,eys_2021,mys_1990,mys_2021,gnipc_1990,gnipc_2021,gdi_group_2021,gdi_1990,gdi_2021,hdi_f_1990,hdi_f_2021,le_f_1990,le_f_2021,eys_f_1990,eys_f_2021,mys_f_1990,mys_f_2021,gni_pc_f_1990,gni_pc_f_2021,hdi_m_1990,hdi_m_2021,le_m_1990,le_m_2021,eys_m_1990,eys_m_2021,mys_m_1990,mys_m_2021,gni_pc_m_1990,gni_pc_m_2021,ihdi_2010,ihdi_2021,coef_ineq_2010,coef_ineq_2021,loss_2010,loss_2021,ineq_le_2010,ineq_le_2021,ineq_edu_2010,ineq_edu_2021,ineq_inc_2010,ineq_inc_2021,gii_rank_2021,gii_1990,gii_2021,mmr_1990,mmr_2021,abr_1990,abr_2021,se_f_1990,se_f_2021,se_m_1990,se_m_2021,pr_f_1990,pr_f_2021,pr_m_1990,pr_m_2021,lfpr_f_1990,lfpr_f_2021,lfpr_m_1990,lfpr_m_2021,rankdiff_hdi_phdi_2021,phdi_1990,phdi_2021,diff_hdi_phdi_1990,diff_hdi_phdi_2021,co2_prod_1990,co2_prod_2021,mf_1990,mf_2021,pop
SYR,Syrian Arab Republic,Medium,AS,150,0.562,0.577,69.8172,72.0627,10.26681042,9.164219856,3.780265279,5.1,4198.494437,4191.933893,5,0.751,0.825,0.464653455,0.502700292,71.6492,75.1752,9.249190331,9.074879646,2.750335963,4.6297,1242.279376,1285.232873,0.618612789,0.609549665,68.162,69.0583,11.24868011,9.249540329,4.791057519,5.6,7070.372611,7088.319399,0.529,,19.51521747,,19.84848485,,11.51928902,12.98532009,28.7093834,,18.31698,,119,0.551,0.477,42,31,79.288,38.72,18.89632907,37.12,23.97880893,43.372,9.6,11.2,90.4,88.8,19.063,15.715,83.337,70.767,7,0.542,0.565,3.558718861,2.079722704,2.97644151,1.744614402,3.15,1.91,22125
TCD,Chad,Low,SSA,190,,0.394,44.6856,52.5254,2.415178514,8.035914334,,2.57377421,988.5076021,1364.169417,5,,0.77,,0.339311717,47.7927,54.2828,1.149177272,6.611644138,,1.489173708,754.7647343,965.1510779,,0.440888916,41.7819,50.8449,3.34251731,9.464517316,,3.681625264,1228.206075,1760.0728,0.218,0.251,39.45839782,35.99797978,39.77900552,36.29441624,45.78521347,38.55884933,41.86106,42.9329,30.72892,26.50219,165,,0.652,1340,1140,210.377,138.306,,7.739064493,,24.36999639,2.4,32.25806452,97.6,67.74193548,64.562,46.914,80.022,69.927,1,,0.379,,3.807106599,0.063285939,0.055540457,4.26,8.26,16818
TGO,Togo,Low,SSA,162,0.41,0.539,54.3697,61.6194,7.492650032,12.95049378,2.784321136,5.016807367,1751.791508,2166.619062,5,0.732,0.849,0.34230048,0.497381322,56.0095,62.3913,5.34224987,12.19214922,1.439810171,3.400858516,1376.985317,1884.54823,0.467743703,0.586086092,52.7456,60.8495,9.664070129,14.30900219,4.19803612,6.828586144,2131.376941,2445.721556,0.321,0.372,32.28348659,30.7737213,32.70440252,30.98330241,34.45804977,27.74024391,38.8745,37.72766,23.51791,26.85326,149,0.739,0.58,528,396,105.655,77.88,9.772574757,13.93464167,29.97064628,42.29159483,1.234567901,18.68131868,98.7654321,81.31868132,54.04,55.488,64.837,59.369,4,0.399,0.528,2.682926829,2.040816327,0.259024691,0.264726786,5.31,4.14,7886
THA,Thailand,Very High,EAP,66,0.576,0.8,70.4449,78.7154,8.434339523,15.88221913,4.507717011,8.697119713,6907.889992,17030.15352,1,0.948,1.012,0.559177627,0.80539431,74.2037,83.0408,8.317844437,16.24098024,4.112824904,8.56564045,5207.1353,15457.0841,0.5898972,0.795766338,66.759,74.518,8.55083461,15.56719155,4.948542753,8.838259697,8608.56114,18694.23633,0.591,0.686,19.47561174,14.16798364,19.81004071,14.25,10.06338787,6.868660927,20.75671735,16.84539,27.60673,18.7899,79,0.437,0.333,38,37,51.146,32.744,13.04482961,47.62686157,19.87121323,51.66852951,6.584992343,13.93775372,93.41500766,86.06224628,65.614,58.992,84.83,75.027,24,0.552,0.735,4.166666667,8.125,1.554434578,3.692920935,6.64,11.75,66870
TJK,Tajikistan,Medium,ECA,122,0.628,0.685,61.879,71.5942,11.98297944,11.65303618,9.306605518,11.3333938,5229.309607,4547.742427,4,,0.909,,0.647971594,64.5591,73.7339,,11.17689865,8.422153802,10.88014417,3071.87129,2980.088091,,0.712813626,59.1829,69.5682,,12.10252231,10.31212234,11.76179455,7465.593259,6095.515037,,0.599,,12.34022282,,12.55474453,20.84533691,16.51501846,,6.03825,,14.4674,68,0.537,0.285,77,17,43.003,45.427,71.208226,93.50186807,83.34643347,94.58824356,2.762430939,23.40425532,97.23756906,76.59574468,31.431,30.21,58.177,50.534,24,,0.662,,3.357664234,2.286984364,0.990569475,,5.75,9506
TKM,Turkmenistan,High,ECA,91,,0.745,63.939,69.2644,,13.21039963,,11.26139,10673.69611,13020.7155,2,,0.956,,0.725895847,67.2134,72.663,,12.99555016,,10.92442,7422.480596,9227.499136,,0.759567182,60.5795,65.8652,,13.4203701,,11.62147,14069.58704,16884.43719,0.586,0.619,17.04380361,16.37204107,17.58087201,16.91275168,20.90125084,19.9665432,5.24207,2.94467,24.98809,26.20491,43,,0.177,68,7,25.291,21.769,,93.47375488,,92.15588379,18,25,82,75,40.856,36.54,59.877,55.59,-20,,0.632,,15.16778523,8.513974202,12.49132843,,13.13,6431
TLS,Timor-Leste,Medium,EAP,140,,0.607,44.9535,67.7369,,12.616098,,5.43679,2822.874942,4460.869435,4,,0.917,,0.580299039,46.5536,69.5445,,12.20868199,,4.74176,2302.276957,3641.650885,,0.633048484,43.5321,66.0999,,13.02351401,,6.161881,3301.885531,5248.15712,0.422,0.44,30.66901063,26.24257376,31.82552504,27.51235585,26.56353188,20.22848129,47.62373,44.91179,17.81977,13.58745,89,,0.378,1360,142,66.003,33.877,,33.73693085,,41.76971436,,38.46153846,,61.53846154,63.818,60.987,73.118,72.24,,,,,,,0.398727289,,,1318
TON,Tonga,High,EAP,91,0.645,0.745,67.2943,70.9857,12.07151065,16.04857063,9.118815371,11.392594,4535.219426,6822.03125,2,,0.965,,0.728001834,71.365,73.719,,16.30469398,8.918009775,11.47622061,2419.853471,4842.026992,,0.754353802,63.8353,68.4164,,15.65363352,9.362762982,11.23541736,6596.769933,8845.003974,,0.666,,10.43202966,,10.60402685,9.728571892,8.745738983,,4.30943,,18.24092,160,0.705,0.631,94,52,30.861,18.965,60.90195806,93.52619044,66.15374755,93.14792163,0,0,100,100,35.752,37.292,74.984,55.263,,,,,,0.809348999,1.359761578,,,100
TTO,Trinidad and Tobago,Very High,LAC,57,0.66,0.81,68.272,72.9709,11.11131308,14.53545292,7.252180099,11.61062419,10497.63719,23392.02084,1,0.934,0.985,0.632882022,0.801419799,70.4011,76.4032,11.2083938,14.8003024,7.134319782,11.72598705,6322.587837,16793.87355,0.6777993,0.813863715,66.1218,69.6616,11.01785578,14.24290289,7.373260021,11.49873111,14752.03803,30166.20298,,,,,,,13.79482269,10.87518406,,,21.94,,81,0.456,0.344,104,67,60.254,38.132,37.02053833,84.8022413,36.63117981,80.64749944,19.40298507,32.43243243,80.59701493,67.56756757,42.174,46.651,74.229,67.961,,,,,,13.90629555,25.37313646,,,1368
TUN,Tunisia,High,AS,97,0.576,0.731,70.1103,73.7719,10.47406006,15.42538224,3.466150007,7.431598614,5655.51495,10257.54477,3,0.78,0.931,0.491922993,0.69683006,72.4511,77.1448,9.474780083,16.45976207,2.251451999,6.855294122,2073.468575,4869.597753,0.63092096,0.748367539,67.9241,70.7428,11.43410015,14.45251965,4.69504778,8.034592614,9187.41112,15777.90515,,0.588,,19.18297336,,19.5622435,11.09421921,9.956520081,,30.70285,,16.88955,61,0.558,0.259,136,43,18.624,6.685,11.9172972,42.92002694,26.61428099,51.79512793,6.748466258,26.26728111,93.25153374,73.73271889,22.103,25.493,74.868,67.15,21,0.551,0.687,4.340277778,6.019151847,1.592490915,2.379863502,6.92,9.17,11804
